"group_type","group_value","count"
"category","NOT_STARTED",675
"category","WAITING",265
"lot","H031",104
"lot","B003",83
"lot","B031",72
"lot","I003",47
"lot","A031",45
"lot","I031",43
"lot","H003",33
"lot","A003",28
"lot","H041",28
"lot","I042",26
"lot","B041",24
"lot","A041",24
"lot","I018",23
"lot","A033",22
"lot","B12A",22
"lot","I043",19
"lot","I041",18
"lot","B034",16
"lot","I019",15
"lot","B017",14
"lot","A006",14
"lot","8",14
"lot","B16B",13
"lot","A12A",13
"lot","A005",10
"lot","H006",9
"lot","G62",9
"lot","B011",9
"lot","H007",9
"lot","B033",9
"lot","B16A",8
"lot","B005",8
"lot","B42B",8
"lot","A008",8
"lot","A034",8
"lot","A007",6
"lot","B004",6
"lot","I012",6
"lot","H042",5
"lot","H051",5
"lot","B008",5
"lot","H008",4
"lot","A042",4
"lot","G61",4
"lot","B019",3
"lot","H12A",3
"lot","B006",3
"lot","B013",2
"lot","A004",2
"lot","A022",2
"lot","B03&",2
"lot","B042",2
"lot","I011",2
"lot","H04",2
"lot","H005",2
"lot","B018",2
"lot","6",1
"lot","B11",1
"lot","I04",1
"lot","B051",1
"lot","H034",1
"lot","14",1
"lot","H004",1
"lot","B035",1
"lot","22",1
"lot","A009",1
"lot","H033",1
"lot","A051",1
"lot","B06B",1
"sheet","LOT 03-GOE-LGD",193
"sheet","LOT 31 à 34-AU-HO-CFO-SNIE",185
"sheet","LOT 31 à 34-IN-BX-CFO-BENTIN",139
"sheet","LOT 41-CVC-AXIMA",95
"sheet","Lot 12-LAC-MEN",65
"sheet","LOT 42-PLB-UTB",36
"sheet","LOT 018-019-BX-SOLS DS-FRS",25
"sheet","LOT AH06-RVT FAC - FND ",22
"sheet","LOT B06-AH07-BFUP-CAS BA-LGD",20
"sheet","LOT 11 - 16A -AMP-CLD - FPL",20
"sheet","LOT 05-MEN EXT-ICM",19
"sheet","LOT 43-SPK-AAI",19
"sheet","LOT 020-PEINT PK-DBH",18
"sheet","LOT B17-BX-FPR-BANGUI",16
"sheet","LOT 04-06-ETANCH-COUV-SMAC",13
"sheet","LOT 6162-VRD-EV-SEPA",13
"sheet","LOT 16B-FP RAYON-LINDNER",11
"sheet","LOT 08-MUR-RID-DUV",10
"sheet","LOT 42b-VSQ-CREA",8
"sheet","LOT 51-ASC-SCHINDLER",7
"sheet","LOT A22-SDB PREFA-HVA",3
"sheet","LOT 14-PORTE-PK-FER",3
